T,332961-8799,12207162,$41.99 ,3/9/2017,CornyBorit
T,821202-0522,51141005,$44.79 ,4/8/2012,BaryramBenditt
T,952163-3715,36800141,$18.15 ,26/2/2012,PerlBirtley
T,933177-3111,67700142,$8.99 ,27/2/2012,PerlBirtley
T,325484-3363,36800141,$18.15 ,2/8/2020,GwennethMunnion
T,555485-3365,33800130,$4.11 ,13/9/2020,GwennethMunnion
P,Juice,55727149,HermannGroup
P,Tuna,66949246,RolfsonGroup
P,Grapes,57913286,RolfsonGroup
P,Potato,22113281,RolfsonGroup
P,Carrot,11113288,RolfsonGroup
T,051744-0155,36800141,$18.15 ,1/12/2013,BarbabasDimblebee
T,051333-2155,36800141,$18.15 ,1/8/2013,BarbabasDimblebee
T,051742-3145,36800141,$18.15 ,1/1/2013,BarbabasDimblebee
T,151741-7155,67700142,$8.99 ,2/4/2014,BarbabasDimblebee
T,077777-0177,49349891,$44.72 ,8/5/2015,BarbabasDimblebee
T,251777-0172,33800130,$4.11 ,1/4/2016,BarbabasDimblebee
T,661743-0166,54868618,$231.87 ,1/3/2018,BarbabasDimblebee
T,111143-0133,59726120,$7.87 ,8/4/2019,BarbabasDimblebee
T,555092-2222,59726120,$7.87 ,9/5/2015,AurieMudie
T,426093-3317,51141005,$44.79 ,10/5/2018,AurieMudie
T,427093-4412,11141001,$14.99 ,12/2/2014,AurieMudie
T,332709-4433,72141007,$55.33 ,12/2/2014,AurieMudie
T,000092-6612,21695099,$106.74 ,25/5/2012,AurieMudie
T,922772-1044,51141005,$44.79 ,1/7/2017,DrusiJurewicz
T,922777-1666,11141001,$14.79 ,1/1/2018,DrusiJurewicz
T,963176-4103,49349891,$44.72 ,12/4/2019,DrusiJurewicz
T,492743-7433,13107168,$81.11 ,25/1/2020,DrusiJurewicz
T,362742-7499,12207162,$41.99 ,27/1/2020,DrusiJurewicz
P,Cake,11141001,CakeFun
P,Pasta,72141007,CakeFun
P,Bread,21695099,ReillyBoganInc
T,328482-8888,67700142,$8.99 ,22/10/2020,GwennethMunnion
T,448381-8882,67700142,$8.99 ,23/10/2020,GwennethMunnion
T,678181-8881,67700142,$8.99 ,25/10/2020,GwennethMunnion
T,626706-7451,36800141,$18.15 ,5/7/2018,LennardStimson
T,116706-6661,67700142,$8.99 ,5/7/2018,LennardStimson
T,003354-5296,1130139,$33.93 ,4/4/2015,LennardStimson
P,Pork,54868618,HermannGroup
P,Cherry,59726120,HermannGroup
P,Potato,33726123,HermannGroup
T,040188-0828,59726120,$7.87 ,11/9/2013,RuddyKirkbright
T,550186-0877,33726123,$16.99 ,11/10/2015,RuddyKirkbright
T,421583-5467,1130139,$33.93 ,7/5/2016,SkyeLeadley
T,930772-3715,51141005,$44.79 ,11/1/2012,DaraVeschambes
T,121181-3687,54868618,$231.87 ,19/2/2016,SibylLafuente
T,123381-3684,54868618,$231.87 ,20/2/2016,SibylLafuente
C,DaraVeschambes,149-883-3405,4OnsgardAvenue,Female
T,134481-3684,54868618,$231.87 ,11/3/2016,SibylLafuente
C,GwennethMunnion,725-262-7388,13706RandyAlley,Female
C,LesPocknell,351-501-9585,2NorthviewPlace,Male
T,125581-3685,55727149,$36.99 ,12/5/2016,SibylLafuente
T,126681-3686,44726144,$8.99 ,26/7/2016,SibylLafuente
T,127781-3687,33726748,$18.99 ,19/9/2016,SibylLafuente
T,756803-0581,66949246,$13.93 ,18/5/2016,SibylLafuente
T,886083-8588,57913286,$6.93 ,11/1/2016,SkyeLeadley
C,SkyeLeadley,781-714-1643,74251AbergCrossing,Male
C,RuddyKirkbright,878-277-6353,73712TexasRoad,Male
T,826081-3583,22113281,$4.88 ,16/3/2017,SkyeLeadley
T,826085-8687,11113288,$7.99 ,1/6/2019,SkyeLeadley
